Program Name,Program Type,Size in Bytes
findgsc1.3,a /usr/bin/sh script,2667
findgsc2.2,a /usr/bin/sh script,2667
findgsc2.3,a /usr/bin/sh script,2667
findigsl,a /usr/bin/sh script,472
findiphas2,a /usr/bin/sh script,480
findkic,a /usr/bin/sh script,1197
findmc2,a /usr/bin/sh script,440
findmc_irsf,a /usr/bin/sh script,447
findnomad1,a /usr/bin/sh script,650
findpmm1,a /usr/bin/sh script,675
findpmm2,a /usr/bin/sh script,675
findppmx,a /usr/bin/sh script,1200
findppmxl,a /usr/bin/sh script,1200
findrule,Perl script text executable,3327
findsage,a /usr/bin/sh script,441
findsdss-sp,a /usr/bin/sh script,1738
findsdss3,a /usr/bin/sh script,1607
findsdss4,a /usr/bin/sh script,1607
findsdss5,a /usr/bin/sh script,1607
findsdss6,a /usr/bin/sh script,1607
findsdss7,a /usr/bin/sh script,1607
findsdss8,a /usr/bin/sh script,1607
findsdss9,a /usr/bin/sh script,1607
findsmb,Perl script text executable,4604
findspm4,a /usr/bin/sh script,696
findtyc2,a /usr/bin/sh script,542
findtycab,a /usr/bin/csh -f script,823
finducac1,a /usr/bin/sh script,697
finducac2,a /usr/bin/sh script,697
finducac3,a /usr/bin/sh script,697
finducac4,a /usr/bin/sh script,697
findudxs8,a /usr/bin/sh script,484
findudxs9,a /usr/bin/sh script,484
findugcs8,a /usr/bin/sh script,484
findugcs9,a /usr/bin/sh script,484
findugps6,a /usr/bin/sh script,484
findulas7,a /usr/bin/sh script,484
findulas8,a /usr/bin/sh script,484
findulas9,a /usr/bin/sh script,484
findurat1,a /usr/bin/sh script,439
findusnoa1,a /usr/bin/sh script,675
findusnoa2,a /usr/bin/sh script,675
findusnob1,a /usr/bin/sh script,796
findviking1,a /usr/bin/sh script,481
findwise,a /usr/bin/sh script,557
findwise0,a /usr/bin/sh script,557
findwise_pre,a /usr/bin/sh script,448
findwisep,a /usr/bin/sh script,557
fips-finish-install,Bourne-Again shell script,981
fips-mode-setup,Bourne-Again shell script,3884
firefox,Bourne-Again shell script,7544
firewall-cmd,Python script,118995
firewall-config,Python script,333082
