Program Name,Program Type,Size in Bytes
ps2ascii,a /usr/bin/sh script,635
purple-send-async,a /usr/bin/sh script,639
rst2s5,Python script,640
eps2eps,a /usr/bin/sh script,643
unbuffer,a /usr/bin/sh script,644
pip,Python script,648
pip3,Python script,648
pip3.9,Python script,648
findnomad1,a /usr/bin/sh script,650
ps2ps,a /usr/bin/sh script,651
gnome-shell-extension-prefs,a /usr/bin/sh script,663
ps2ps2,a /usr/bin/sh script,673
rstpep2html,Python script,673
findpmm1,a /usr/bin/sh script,675
findpmm2,a /usr/bin/sh script,675
findusnoa1,a /usr/bin/sh script,675
findusnoa2,a /usr/bin/sh script,675
ftp-rfc,a /usr/bin/sh script,687
monodocs2html,a /usr/bin/sh script,694
find-jar,Bourne-Again shell script,696
findspm4,a /usr/bin/sh script,696
finducac1,a /usr/bin/sh script,697
finducac2,a /usr/bin/sh script,697
finducac3,a /usr/bin/sh script,697
finducac4,a /usr/bin/sh script,697
pdf2dsc,a /usr/bin/sh script,701
rst2html4,Python script,717
renew-dummy-cert,Bourne-Again shell script,729
cinnamon-subprocess-wrapper,Python script,738
findcmc14,a /usr/bin/sh script,762
rst2odt,Python script,767
pastebin,Python script,776
purple-send,a /usr/bin/sh script,780
mxtar,a /usr/bin/sh script,788
rst2latex,Python script,794
findusnob1,a /usr/bin/sh script,796
readmult,HTML document,803
gnome-session,a /usr/bin/sh script,804
ci,a /usr/bin/sh script,811
co,a /usr/bin/sh script,811
update-gap-workspace,a /usr/bin/sh script,811
rlog,a /usr/bin/sh script,817
findtycab,a /usr/bin/csh -f script,823
rcsdiff,a /usr/bin/sh script,826
rcsclean,a /usr/bin/sh script,829
rcsmerge,a /usr/bin/sh script,829
x86_64-redhat-linux-gnu-pkg-config,a /usr/bin/sh script,829
simbib,a /usr/bin/csh -f script,843
onboard-settings,Python script,848
mimeencode,Perl script text executable,849
mcomp,a /usr/bin/sh script,851
lscat,a /usr/bin/sh script,853
catcat,a /usr/bin/sh script,870
rst2xetex,Python script,874
powerline-render,Python script,886
find2mass,a /usr/bin/sh script,907
find2massi,a /usr/bin/sh script,907
pdf2ps,a /usr/bin/sh script,913
neqn,a /usr/bin/sh script,916
emacspeak,a /usr/bin/sh script,925
findcat,a /usr/bin/sh script,925
freesolid-config,a /usr/bin/sh script,927
tox,Python script,941
2ping,Python script,942
pipsi,Python script,942
mypy,Python script,943
2ping6,Python script,944
dmypy,Python script,945
thonny,Python script,945
pgzrun,Python script,947
flask-3.9,Python script,948
isort-3.9,Python script,948
f2py,Python script,949
stubgen,Python script,949
ufs,Python script,950
f2py3,Python script,951
scour,Python script,951
stubtest,Python script,951
distro,Python script,953
flake8,Python script,953
pt2to3,Python script,953
ptdump,Python script,953
pttree,Python script,953
pylint-3.9,Python script,953
pytest-3.9,Python script,953
uflash,Python script,953
pudb3,Python script,954
epylint-3.9,Python script,955
f2py3.9,Python script,955
py.test-3.9,Python script,955
symilar-3.9,Python script,955
poetry,Python script,956
ptrepack,Python script,957
nudatus,Python script,958
pipreqs,Python script,958
pinout,Python script,959
pyreverse-3.9,Python script,959
futurize-3.9,Python script,960
libmikmod-config,a /usr/bin/sh script,960
testr-3.9,Python script,960
clamav-config,a /usr/bin/sh script,961
ipython,Python script,961
keyring,Python script,961
keyring-python3,Python script,961
cairosvg,Python script,963
cssparse,Python script,963
ipython3,Python script,963
pyflakes-3.9,Python script,963
tabulate,Python script,963
tox-quickstart,Python script,963
chardetect,Python script,964
pasteurize-3.9,Python script,964
pkginfo,Python script,964
pipenv,Python script,965
yamllint,Python script,966
csscapture,Python script,967
csscombine,Python script,967
pygmentize,Python script,967
click-man,Python script,968
pyinotify,Python script,968
grok-fsck,Python script,971
grok-pull,Python script,971
proselint,Python script,971
mako-render-3.9,Python script,972
jsonschema,Python script,973
jupyter,Python script,973
pydocstyle,Python script,973
jupyter-qtconsole,Python script,976
pipdeptree,Python script,976
dotenv,Python script,977
pycodestyle-3.9,Python script,978
grok-manifest,Python script,979
jupyter-notebook,Python script,979
mod_wsgi-express-3,Python script,979
virtualenv,Python script,979
fips-finish-install,Bourne-Again shell script,981
grok-dumb-pull,Python script,981
clc-clbuild,Bourne-Again shell script,982
pipenv-resolver,Python script,983
sigil,a /usr/bin/sh script,983
doesitcache,Python script,984
jupyter-nbconvert,Python script,984
jupyter-nbextension,Python script,985
redshift-gtk,Python script,985
jupyter-run,Python script,987
jediepcserver,Python script,988
jupyter-migrate,Python script,989
ispell,a /usr/bin/sh script,992
jupyter-kernel,Python script,993
jupyter-serverextension,Python script,993
jupyter-bundlerextension,Python script,995
jupyter-troubleshoot,Python script,999
jupyter-kernelspec,Python script,1001
virtualenv-clone,Python script,1003
pitchplay,a /usr/bin/sh script,1008
source-highlight-esc.sh,a /usr/bin/sh script,1021
