Program Name,Program Type,Size in Bytes
cinnamon-install-spice,Python script,2522
cinnamon-json-makepot,Python script,1077
cinnamon-killer-daemon,Python script,1893
cinnamon-launcher,Python script,2729
cinnamon-looking-glass,Python script,254
cinnamon-menu-editor,Python script,590
cinnamon-preview-gtk-theme,Python script,1309
cinnamon-screensaver-lock-dialog,Python script,186
cinnamon-settings,Python script,5292
cinnamon-settings-users,Python script,183
cinnamon-slideshow,Python script,179
cinnamon-subprocess-wrapper,Python script,738
cinnamon-xlet-makepot,Python script,10469
click-man,Python script,968
csscapture,Python script,967
csscombine,Python script,967
cssparse,Python script,963
ddupdate,Python script,350
ddupdate-config,Python script,402
distro,Python script,953
dmypy,Python script,945
dnf-3,Python script,1942
dnfdragora,Python script,5358
doesitcache,Python script,984
dotenv,Python script,977
dtrace,Python script,17065
easy_install,Python script,230
easy_install-3.9,Python script,230
epylint-3.9,Python script,955
f2py,Python script,949
f2py3,Python script,951
f2py3.9,Python script,955
firewall-cmd,Python script,118995
firewall-config,Python script,333082
firewall-offline-cmd,Python script,106841
flake8,Python script,953
flask-3.9,Python script,948
flatpak-bisect,Python script,7844
flatpak-coredumpctl,Python script,3433
flit,Python script,203
fpaste,Python script,29639
futurize-3.9,Python script,960
gdbus-codegen,Python script,2038
git-cola,Python script,1445
git-cola-sequence-editor,Python script,21859
git-dag,Python script,1450
glib-genmarshal,Python script,40977
glib-mkenums,Python script,29792
gnome-shell-extension-tool,Python script,1706
gnome-shell-perf-tool,Python script,10613
grok-dumb-pull,Python script,981
grok-fsck,Python script,971
grok-manifest,Python script,979
grok-pull,Python script,971
gsettings-schema-convert,Python script,41831
gtester-report,Python script,19090
gtk-builder-convert,Python script,28760
gtkdoc-depscan,Python script,13185
gtkdoc-fixxref,Python script,2396
gtkdoc-mkdb,Python script,2946
gtkdoc-mkhtml,Python script,2076
gtkdoc-mkhtml2,Python script,2361
gtkdoc-mkman,Python script,2002
gtkdoc-mkpdf,Python script,2002
gtkdoc-rebase,Python script,2623
gtkdoc-scan,Python script,2801
gtkdoc-scangobj,Python script,3351
hmaptool,Python script,9972
hwasan_symbolize,Python script,9680
ibus-setup-cangjie,Python script,2015
idle2.7,Python script,93
idle3.5,Python script,93
idle3.6,Python script,93
idle3.7,Python script,93
idle3.8,Python script,93
idle3.9,Python script,93
instperf,Python script,1745
ipython,Python script,961
ipython3,Python script,963
isort-3.9,Python script,948
jediepcserver,Python script,988
jsonlint,Python script,1503
jsonschema,Python script,973
jupyter,Python script,973
jupyter-bundlerextension,Python script,995
jupyter-kernel,Python script,993
